tick_ms,valid_fix,fix_type,satellites,latitude_deg,longitude_deg,altitude_m,speed_mps,course_deg,hdop
111299,1,1,9,39.97361755,-105.14996338,1654.8000,0.7480,126.6200,1.0200
112074,1,1,9,39.97362137,-105.14996338,1654.8000,0.9003,82.2900,1.0200
112184,1,1,9,39.97362137,-105.14996338,1655.6000,0.9003,82.2900,1.0200
113066,1,1,9,39.97362137,-105.14995575,1655.6000,0.6086,72.1100,1.0200
113231,1,1,9,39.97362137,-105.14995575,1655.4000,0.6086,72.1100,1.0200
114055,1,1,9,39.97363281,-105.14994812,1655.4000,0.9862,52.3500,1.0200
114204,1,1,9,39.97363281,-105.14994812,1655.4000,0.9862,52.3500,1.0200
115047,1,1,9,39.97362518,-105.14995575,1655.4000,0.3298,0.0000,1.0200
115194,1,1,9,39.97362518,-105.14995575,1655.3000,0.3298,0.0000,1.0200
116085,1,1,9,39.97362900,-105.14994812,1655.3000,0.5983,50.0400,1.0200
116196,1,1,10,39.97362900,-105.14994812,1655.4000,0.5983,50.0400,0.9500
117038,1,1,10,39.97363663,-105.14994049,1655.4000,0.6950,48.3400,0.9500
117198,1,1,10,39.97363663,-105.14994049,1655.4000,0.6950,48.3400,0.9500
118080,1,1,10,39.97362900,-105.14994812,1655.4000,0.1425,0.0000,0.9500
118199,1,1,10,39.97362900,-105.14994812,1655.9000,0.1425,0.0000,0.9500
119091,1,1,10,39.97362900,-105.14994812,1655.9000,0.0947,0.0000,0.9500
119208,1,1,10,39.97362900,-105.14994812,1656.1000,0.0947,0.0000,0.9500
120057,1,1,10,39.97362900,-105.14994812,1656.1000,0.2217,0.0000,0.9500
120204,1,1,10,39.97362900,-105.14994812,1655.9000,0.2217,0.0000,0.9500
121186,1,1,10,39.97363281,-105.14994049,1655.3000,0.2958,0.0000,0.9500
122087,1,1,10,39.97363281,-105.14994049,1655.3000,0.2181,0.0000,0.9500
122312,1,1,10,39.97363281,-105.14994049,1655.2000,0.2181,0.0000,0.9500
123088,1,1,10,39.97364044,-105.14993286,1655.2000,0.2973,0.0000,0.9500
123234,1,1,10,39.97364044,-105.14993286,1655.1000,0.2973,0.0000,0.9500
124035,1,1,10,39.97364044,-105.14992523,1655.1000,0.2521,0.0000,0.9500
124183,1,1,9,39.97364044,-105.14992523,1654.8000,0.2521,0.0000,1.3200
125104,1,1,9,39.97364426,-105.14991760,1654.8000,0.2258,0.0000,1.3200
125256,1,1,9,39.97364426,-105.14991760,1654.7000,0.2258,0.0000,1.3200
126062,1,1,9,39.97364807,-105.14991760,1654.7000,0.2011,0.0000,1.3200
126300,1,1,9,39.97364807,-105.14991760,1654.6000,0.2011,0.0000,1.3200
127103,1,1,9,39.97364807,-105.14991760,1654.6000,0.1945,0.0000,1.3200
127306,1,1,9,39.97364807,-105.14991760,1654.6000,0.1945,0.0000,1.3200
128070,1,1,9,39.97364807,-105.14990997,1654.6000,0.0689,0.0000,1.3200
128270,1,1,9,39.97364807,-105.14990997,1654.7000,0.0689,0.0000,1.3200
129192,1,1,10,39.97365952,-105.14989471,1654.7000,0.2413,0.0000,0.9400
130201,1,1,10,39.97366333,-105.14988708,1654.6000,0.5751,48.3200,0.9400
131201,1,1,10,39.97366714,-105.14987946,1654.5000,0.4507,0.0000,0.9400
132089,1,1,10,39.97367096,-105.14987183,1654.5000,0.6076,47.0900,0.9400
132220,1,1,10,39.97367096,-105.14987183,1654.3000,0.6076,47.0900,0.9400
133043,1,1,10,39.97367096,-105.14987183,1654.3000,0.2078,0.0000,0.9400
133260,1,1,10,39.97367096,-105.14987183,1654.1000,0.2078,0.0000,0.9400
134065,1,1,10,39.97367096,-105.14987183,1654.1000,0.0134,0.0000,0.9400
134311,1,1,10,39.97367096,-105.14987183,1653.9000,0.0134,0.0000,0.9400
135030,1,1,10,39.97366333,-105.14988708,1653.9000,0.3766,0.0000,0.9400
135265,1,1,11,39.97366333,-105.14988708,1653.9000,0.3766,0.0000,0.8900
136075,1,1,11,39.97364807,-105.14990234,1653.9000,0.7881,164.2000,0.8900
136156,1,1,11,39.97364807,-105.14990234,1654.1000,0.7881,164.2000,0.8900
137112,1,1,11,39.97363281,-105.14992523,1654.1000,0.9234,199.9000,0.8900
137313,1,1,11,39.97363281,-105.14992523,1654.2000,0.9234,199.9000,0.8900
138068,1,1,11,39.97362900,-105.14993286,1654.2000,0.6708,209.8200,0.8900
138235,1,1,11,39.97362900,-105.14993286,1654.3000,0.6708,209.8200,0.8900
139088,1,1,11,39.97362900,-105.14993286,1654.3000,0.6981,219.7500,0.8900
139161,1,1,10,39.97362900,-105.14993286,1654.2000,0.6981,219.7500,0.9400
140092,1,1,10,39.97363281,-105.14992523,1654.2000,0.0340,0.0000,0.9400
140211,1,1,10,39.97363281,-105.14992523,1654.0000,0.0340,0.0000,0.9400
141034,1,1,10,39.97363663,-105.14991760,1654.0000,0.4136,0.0000,0.9400
141186,1,1,10,39.97363663,-105.14991760,1653.8000,0.4136,0.0000,0.9400
142045,1,1,10,39.97363663,-105.14992523,1653.8000,0.0658,0.0000,0.9400
142160,1,1,10,39.97363663,-105.14992523,1653.7000,0.0658,0.0000,0.9400
143095,1,1,10,39.97363281,-105.14992523,1653.7000,0.2325,0.0000,0.9400
143213,1,1,10,39.97363281,-105.14992523,1653.5000,0.2325,0.0000,0.9400
144026,1,1,10,39.97364044,-105.14991760,1653.5000,0.3663,0.0000,0.9400
144139,1,1,10,39.97364044,-105.14991760,1653.2000,0.3663,0.0000,0.9400
145111,1,1,10,39.97364807,-105.14990997,1653.2000,0.5422,151.4700,0.9400
145266,1,1,10,39.97364807,-105.14990997,1653.1000,0.5422,151.4700,0.9400
146053,1,1,10,39.97365189,-105.14990234,1653.1000,0.4357,0.0000,0.9400
146203,1,1,10,39.97365189,-105.14990234,1653.1000,0.4357,0.0000,0.9400
147052,1,1,10,39.97365189,-105.14990234,1653.1000,0.4481,0.0000,0.9400
147209,1,1,10,39.97365189,-105.14990234,1653.2000,0.4481,0.0000,0.9100
148084,1,1,10,39.97365570,-105.14989471,1653.2000,0.3467,0.0000,0.9100
148235,1,1,10,39.97365570,-105.14989471,1653.2000,0.3467,0.0000,0.9100
149022,1,1,10,39.97365952,-105.14989471,1653.2000,0.0242,0.0000,0.9100
149177,1,1,10,39.97365952,-105.14989471,1653.2000,0.0242,0.0000,0.9100
150087,1,1,10,39.97365952,-105.14989471,1653.2000,0.5808,93.5900,0.9100
150235,1,1,11,39.97365952,-105.14989471,1653.3000,0.5808,93.5900,0.8900
151086,1,1,11,39.97366333,-105.14988708,1653.3000,0.6014,68.0700,0.8900
151191,1,1,11,39.97366333,-105.14988708,1653.2000,0.6014,68.0700,0.8900
152066,1,1,11,39.97366714,-105.14988708,1653.2000,0.5186,59.7900,0.8900
152255,1,1,11,39.97366714,-105.14988708,1653.4000,0.5186,59.7900,0.8900
153174,1,1,11,39.97366714,-105.14988708,1653.4000,0.1013,0.0000,0.8900
154073,1,1,11,39.97367096,-105.14988708,1653.4000,0.2711,0.0000,0.8900
154224,1,1,11,39.97367096,-105.14988708,1653.2000,0.2711,0.0000,0.8900
155052,1,1,11,39.97366714,-105.14988708,1653.2000,0.2495,0.0000,0.8900
155246,1,1,11,39.97366714,-105.14988708,1653.2000,0.2495,0.0000,0.8900
156094,1,1,11,39.97366714,-105.14988708,1653.2000,0.1044,0.0000,0.8900
156204,1,1,10,39.97366714,-105.14988708,1653.1000,0.1044,0.0000,0.9400
157050,1,1,10,39.97366333,-105.14989471,1653.1000,0.2670,0.0000,0.9400
157163,1,1,10,39.97366333,-105.14989471,1653.0000,0.2670,0.0000,0.9400
158075,1,1,10,39.97366333,-105.14989471,1653.0000,0.0854,0.0000,0.9400
158185,1,1,10,39.97366333,-105.14989471,1653.1000,0.0854,0.0000,0.9400
159073,1,1,10,39.97366714,-105.14989471,1653.1000,0.0252,0.0000,0.9400
159225,1,1,10,39.97366714,-105.14989471,1652.8000,0.0252,0.0000,0.9400
160079,1,1,10,39.97366333,-105.14989471,1652.8000,0.2140,0.0000,0.9400
160257,1,1,10,39.97366333,-105.14989471,1652.9000,0.2140,0.0000,0.9400
161061,1,1,10,39.97366333,-105.14989471,1652.9000,0.4615,0.0000,0.9400
161209,1,1,10,39.97366333,-105.14989471,1652.7000,0.4615,0.0000,0.9400
162057,1,1,10,39.97366333,-105.14989471,1652.7000,0.0345,0.0000,0.9400
162209,1,1,10,39.97366333,-105.14989471,1652.8000,0.0345,0.0000,0.9400
163111,1,1,10,39.97366714,-105.14989471,1652.8000,0.3035,0.0000,0.9400
163263,1,1,10,39.97366714,-105.14989471,1653.0000,0.3035,0.0000,0.9400
